title,year,genre
(500) Days of Summer,2009,Comedy
(500) Days of Summer,2009,Drama
(500) Days of Summer,2009,Romance
10 Cloverfield Lane,2016,Thriller
10 Cloverfield Lane,2016,Science Fiction
10 Cloverfield Lane,2016,Drama
10 Things I Hate About You,1999,Comedy
10 Things I Hate About You,1999,Romance
10 Things I Hate About You,1999,Drama
"10,000 BC",2008,Adventure
"10,000 BC",2008,Action
"10,000 BC",2008,Drama
"10,000 BC",2008,Fantasy
101 Dalmatians,1996,Comedy
101 Dalmatians,1996,Family
12 Angry Men,1957,Drama
12 Years a Slave,2013,Drama
12 Years a Slave,2013,History
127 Hours,2010,Adventure
127 Hours,2010,Drama
127 Hours,2010,Thriller
13 Going on 30,2004,Comedy
13 Going on 30,2004,Fantasy
13 Going on 30,2004,Romance
13 Hours: The Secret Soldiers of Benghazi,2016,Action
13 Hours: The Secret Soldiers of Benghazi,2016,Drama
13 Hours: The Secret Soldiers of Benghazi,2016,History
13 Hours: The Secret Soldiers of Benghazi,2016,Thriller
13 Hours: The Secret Soldiers of Benghazi,2016,War
1408,2007,Horror
1408,2007,Thriller
16 Blocks,2006,Action
16 Blocks,2006,Adventure
16 Blocks,2006,Crime
16 Blocks,2006,Thriller
17 Again,2009,Comedy
2 Fast 2 Furious,2003,Action
2 Fast 2 Furious,2003,Crime
2 Fast 2 Furious,2003,Thriller
2 Guns,2013,Action
2 Guns,2013,Comedy
2 Guns,2013,Crime
2001: A Space Odyssey,1968,Science Fiction
2001: A Space Odyssey,1968,Mystery
2001: A Space Odyssey,1968,Adventure
2012,2009,Action
2012,2009,Adventure
2012,2009,Science Fiction
21,2008,Drama
21,2008,Crime
21 & Over,2013,Comedy
21 Grams,2003,Drama
21 Grams,2003,Crime
21 Grams,2003,Thriller
21 Jump Street,2012,Action
21 Jump Street,2012,Comedy
21 Jump Street,2012,Crime
22 Jump Street,2014,Crime
22 Jump Street,2014,Comedy
22 Jump Street,2014,Action
25th Hour,2002,Crime
25th Hour,2002,Drama
27 Dresses,2008,Comedy
27 Dresses,2008,Romance
28 Days Later,2002,Horror
28 Days Later,2002,Thriller
28 Days Later,2002,Science Fiction
28 Weeks Later,2007,Horror
28 Weeks Later,2007,Thriller
28 Weeks Later,2007,Science Fiction
3 Days to Kill,2014,Action
3 Days to Kill,2014,Drama
3 Days to Kill,2014,Thriller
3 Days to Kill,2014,Crime
3 Idiots,2009,Drama
3 Idiots,2009,Comedy
3 Idiots,2009,Romance
30 Days of Night,2007,Horror
30 Days of Night,2007,Thriller
30 Minutes or Less,2011,Action
30 Minutes or Less,2011,Adventure
30 Minutes or Less,2011,Comedy
300,2006,Action
300,2006,Adventure
300,2006,War
300: Rise of an Empire,2014,Action
300: Rise of an Empire,2014,War
3:10 to Yuma,2007,Western
42,2013,Drama
47 Meters Down,2017,Drama
47 Meters Down,2017,Thriller
47 Meters Down,2017,Horror
47 Meters Down,2017,Adventure
47 Ronin,2013,Drama
47 Ronin,2013,Action
47 Ronin,2013,Adventure
47 Ronin,2013,Fantasy
50 First Dates,2004,Comedy
50 First Dates,2004,Romance
50/50,2011,Comedy
50/50,2011,Drama
8 Mile,2002,Drama
9,2009,Action
9,2009,Adventure
9,2009,Animation
9,2009,Science Fiction
9,2009,Thriller
A Beautiful Mind,2001,Drama
A Beautiful Mind,2001,Romance
A Bug's Life,1998,Adventure
A Bug's Life,1998,Animation
A Bug's Life,1998,Comedy
A Bug's Life,1998,Family
A Christmas Carol,2009,Animation
A Christmas Carol,2009,Drama
A Cinderella Story,2004,Comedy
A Clockwork Orange,1971,Science Fiction
A Clockwork Orange,1971,Drama
A Cure for Wellness,2017,Mystery
A Cure for Wellness,2017,Thriller
A Cure for Wellness,2017,Horror
A Cure for Wellness,2017,Science Fiction
A Dangerous Method,2011,Drama
A Dangerous Method,2011,Thriller
A Dog's Purpose,2017,Comedy
A Dog's Purpose,2017,Drama
A Dog's Purpose,2017,Family
A Dog's Purpose,2017,Fantasy
A Few Good Men,1992,Drama
A Fish Called Wanda,1988,Comedy
A Fish Called Wanda,1988,Crime
A Fistful of Dollars,1964,Western
A Good Day to Die Hard,2013,Action
A Good Day to Die Hard,2013,Thriller
A Haunted House,2013,Comedy
A Haunted House,2013,Horror
A History of Violence,2005,Drama
A History of Violence,2005,Thriller
A History of Violence,2005,Crime
A Knight's Tale,2001,Adventure
A Knight's Tale,2001,Drama
A Knight's Tale,2001,Romance
A Knight's Tale,2001,Action
A Million Ways to Die in the West,2014,Comedy
A Million Ways to Die in the West,2014,Western
A Monster Calls,2016,Drama
A Monster Calls,2016,Fantasy
A Most Violent Year,2014,Crime
A Most Violent Year,2014,Drama
A Most Violent Year,2014,Thriller
A Most Wanted Man,2014,Thriller
A Nightmare on Elm Street,1984,Horror
A Nightmare on Elm Street,2010,Horror
A Nightmare on Elm Street,2010,Mystery
A Nightmare on Elm Street,2010,Thriller
A Scanner Darkly,2006,Animation
A Scanner Darkly,2006,Science Fiction
A Scanner Darkly,2006,Thriller
A Time to Kill,1996,Crime
A Time to Kill,1996,Drama
A Time to Kill,1996,Thriller
A View to a Kill,1985,Adventure
A View to a Kill,1985,Action
A View to a Kill,1985,Thriller
A Walk Among the Tombstones,2014,Crime
A Walk Among the Tombstones,2014,Drama
A Walk Among the Tombstones,2014,Mystery
