week,kapustnica,kapor
2019-01-06,3,15
2019-01-13,2,14
2019-01-20,3,17
2019-01-27,2,18
2019-02-03,2,13
2019-02-10,1,12
2019-02-17,2,12
2019-02-24,2,17
2019-03-03,1,12
2019-03-10,1,16
2019-03-17,1,13
2019-03-24,3,18
2019-03-31,2,17
2019-04-07,3,13
2019-04-14,3,14
2019-04-21,3,14
2019-04-28,2,11
2019-05-05,2,11
2019-05-12,2,12
2019-05-19,2,12
2019-05-26,2,13
2019-06-02,1,14
2019-06-09,1,12
2019-06-16,0,11
2019-06-23,2,12
2019-06-30,2,11
2019-07-07,1,11
2019-07-14,2,14
2019-07-21,1,10
2019-07-28,2,11
2019-08-04,2,11
2019-08-11,2,12
2019-08-18,1,13
2019-08-25,2,9
2019-09-01,4,14
2019-09-08,3,14
2019-09-15,3,19
2019-09-22,2,12
2019-09-29,2,13
2019-10-06,4,16
2019-10-13,2,12
2019-10-20,3,13
2019-10-27,5,12
2019-11-03,3,12
2019-11-10,6,13
2019-11-17,4,14
2019-11-24,5,12
2019-12-01,6,13
2019-12-08,10,12
2019-12-15,23,18
2019-12-22,85,21
2019-12-29,42,11
2020-01-05,3,13
2020-01-12,2,16
2020-01-19,3,19
2020-01-26,3,16
2020-02-02,3,16
2020-02-09,2,14
2020-02-16,4,12
2020-02-23,2,12
2020-03-01,3,11
2020-03-08,3,11
2020-03-15,4,9
2020-03-22,5,11
2020-03-29,4,10
2020-04-05,7,13
2020-04-12,5,10
2020-04-19,3,11
2020-04-26,3,14
2020-05-03,3,11
2020-05-10,3,15
2020-05-17,2,13
2020-05-24,3,15
2020-05-31,1,14
2020-06-07,2,15
2020-06-14,2,13
2020-06-21,2,13
2020-06-28,2,13
2020-07-05,1,12
2020-07-12,2,11
2020-07-19,1,12
2020-07-26,2,14
2020-08-02,3,13
2020-08-09,1,14
2020-08-16,2,14
2020-08-23,1,12
2020-08-30,1,13
2020-09-06,3,11
2020-09-13,2,13
2020-09-20,3,18
2020-09-27,3,13
2020-10-04,3,15
2020-10-11,3,13
2020-10-18,6,10
2020-10-25,6,10
2020-11-01,5,11
2020-11-08,5,10
2020-11-15,7,11
2020-11-22,6,13
2020-11-29,6,10
2020-12-06,9,13
2020-12-13,16,20
2020-12-20,100,24
2020-12-27,52,10
2021-01-03,6,10
2021-01-10,4,12
2021-01-17,3,12
2021-01-24,3,14
2021-01-31,4,11
2021-02-07,1,11
2021-02-14,4,13
2021-02-21,2,15
2021-02-28,3,13
2021-03-07,3,14
2021-03-14,3,15
2021-03-21,2,13
2021-03-28,4,13
2021-04-04,3,14
2021-04-11,2,13
2021-04-18,2,14
2021-04-25,2,15
2021-05-02,1,15
2021-05-09,1,15
2021-05-16,3,14
2021-05-23,2,12
2021-05-30,2,13
2021-06-06,1,15
2021-06-13,2,13
2021-06-20,1,11
2021-06-27,1,11
2021-07-04,1,12
2021-07-11,1,10
2021-07-18,2,14
2021-07-25,1,14
2021-08-01,1,12
2021-08-08,1,10
2021-08-15,1,13
2021-08-22,2,14
2021-08-29,3,11
2021-09-05,2,11
2021-09-12,2,10
2021-09-19,4,18
2021-09-26,3,13
2021-10-03,3,14
2021-10-10,3,13
2021-10-17,2,12
2021-10-24,3,13
2021-10-31,6,11
2021-11-07,4,14
2021-11-14,5,11
2021-11-21,5,11
2021-11-28,5,13
2021-12-05,6,13
2021-12-12,9,13
2021-12-19,83,25
2021-12-26,47,8
2022-01-02,6,13
2022-01-09,2,17
2022-01-16,2,17
2022-01-23,2,14
2022-01-30,3,12
2022-02-06,2,14
2022-02-13,1,13
2022-02-20,2,11
2022-02-27,1,13
2022-03-06,2,13
2022-03-13,2,11
2022-03-20,3,13
2022-03-27,2,11
2022-04-03,2,13
2022-04-10,4,12
2022-04-17,3,13
2022-04-24,2,13
2022-05-01,1,12
2022-05-08,1,12
2022-05-15,1,13
2022-05-22,1,11
2022-05-29,2,13
2022-06-05,1,12
2022-06-12,3,11
2022-06-19,1,11
2022-06-26,1,10
2022-07-03,2,9
2022-07-10,1,8
2022-07-17,1,10
2022-07-24,2,9
2022-07-31,2,9
2022-08-07,1,9
2022-08-14,2,9
2022-08-21,1,10
2022-08-28,2,9
2022-09-04,2,8
2022-09-11,3,9
2022-09-18,3,15
2022-09-25,4,10
2022-10-02,2,9
2022-10-09,5,9
2022-10-16,4,10
2022-10-23,4,9
2022-10-30,4,8
2022-11-06,4,12
2022-11-13,5,8
2022-11-20,5,7
2022-11-27,6,10
2022-12-04,6,9
2022-12-11,11,10
2022-12-18,98,25
2022-12-25,51,9
